DAILY,MONTHLY,DAILY (gC),month,DAILY(mgC),units: ind/m**2/day
4,44,3.40E+00,J,3.40E-03,gCm-2md-1
4.325925926,116.8,3.70E+00,F,3.70E-03,
8.180645161,253.6,6.90E+00,M,6.90E-03,
16.8,16.8,16.8,F,1.68E-02,
7.355,147.1,6.20E+00,M,6.20E-03,
