DAILY,MONTHLY,DAILY (gC),MONTH,DAILY(mgC),units: ind/m**2/day
367.9,4046.9,3.10E+02,J,3.10E-01,gCm-2md-1
538.8607143,15088.1,4.60E+02,F,4.60E-01,
382.8387097,11868,3.20E+02,M,3.20E-01,
203.49,6104.7,1.70E+02,A,1.70E-01,
245.0709677,7597.2,2.10E+02,MAY,2.10E-01,
2.133333333,64,1.80E+00,JUN,1.80E-03,
