Month,NET,lat,lon,ind,biomass (?gC/m3),biomass(gC/m3),biomass (molC/m3),biomass
MAY,63,35.8475,134.6525,3.405,2.88E+00,2.88E-06,2.40E-07,2.40E-04
JUN,63,40.59333333,141.3366667,4.326666667,3.66E+00,3.66E-06,3.05E-07,3.05E-04
